windowID,windowStart,windowEnd,packetCount,tcpPacketCount,tcpRatio,udpPacketCount,udpRatio,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,uniqueTCPStreams,avgTCPWindowSize,minTCPWindowSize,maxTCPWindowSize,synCount,ackCount,finCount,uniqueUDPSrcPorts,uniqueUDPDstPorts,avgInterArrivalTime,stdInterArrivalTime,minInterArrivalTime,maxInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,minTLSRecordLen,maxTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,minACKRoundTripTime,maxACKRoundTripTime,ACKRoundTripTimeCount,avgTimeDelta,stdTimeDelta,minTimeDelta,maxTimeDelta,tlsContentTypeChanegCipherCount,tlsContentTypeAlertCount,tlsContentTypeHandshakeCount,tlsContentTypeAppDataCount,label
4339,1774448685.395928,1774448685.535913,1,1,1.0,0,0.0,373.0,,373,373,373.0,0,0,2664.5695949858637,1,1,255.0,,359.0,,1,1,319.0,,1,1.0,1,1837.0,1837.0,1837.0,0,1,0,0,0,0.011123,,0.011123,0.011123,0,0,0,0,0,0,0,0,0,1,0,0,0,314.0,,314.0,314.0,,,,,0,0.011123,,0.011123,0.011123,0,0,0,1,plugOff
4340,1774448687.139112,1774448688.172704,13,9,0.6923076923076923,4,0.3076923076923077,169.23076923076923,210.4527476046796,60,738,70.0,10,1,2128.49947603328,3,3,211.92307692307693,67.25382459813659,153.84615384615384,211.24624105288683,2,2,157.33333333333334,244.9959183333469,6,0.6666666666666666,1,30253.777777777777,1740.0,65535.0,0,9,0,1,1,0.028000846153846147,0.04343850071623512,1e-06,0.146091,4,5,0,0,0,0,0,4,0,0,0,0,0,141.4,178.84853927276006,28.0,437.0,0.034599399999999995,0.03625145724381297,0.003526,0.096981,5,0.026597,0.04612668358987019,1e-06,0.146091,0,0,0,5,alexaBulbChange
4341,1774448692.946319,1774448693.17335,4,4,1.0,0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,4285.7584739933445,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,33986.0,2368.0,65535.0,0,4,0,0,0,0.013523499999999999,0.011916129698857763,0.002149,0.027686,0,0,0,0,0,0,2,2,0,0,0,0,0,245.33333333333334,314.0785464391564,64.0,608.0,0.016514,0.015799593918832216,0.005342,0.027686,2,0.013523499999999999,0.011916129698857763,0.002149,0.027686,0,0,0,3,movingAroundHouse
4342,1774448699.536931,1774448699.688226,1,1,1.0,0,0.0,372.0,,372,372,372.0,0,0,2458.773463267657,1,1,255.0,,358.0,,1,1,318.0,,1,1.0,1,1804.0,1804.0,1804.0,0,1,0,0,0,0.106622,,0.106622,0.106622,0,0,0,0,0,0,0,0,0,1,0,0,0,313.0,,313.0,313.0,,,,,0,0.106622,,0.106622,0.106622,0,0,0,1,plugOn
4343,1774448705.151988,1774448705.380078,4,4,1.0,0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,4265.859072896969,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,33882.5,2161.0,65535.0,0,4,0,0,0,0.016401500000000003,0.01679825603051301,0.002015,0.03427,0,0,0,0,0,0,2,2,0,0,0,0,0,245.33333333333334,314.0785464391564,64.0,608.0,0.014605,0.01780494875027727,0.002015,0.027195,2,0.016401500000000003,0.01679825603051301,0.002015,0.03427,0,0,0,3,movingAroundHouse
4344,1774450170.197105,1774450170.424733,5,5,1.0,0,0.0,206.6,259.29192042946494,60,667,123.0,2,1,4538.106179581688,2,2,171.0,76.68115805072325,190.2,261.00325668466286,2,2,150.2,261.00325668466286,3,0.6,1,40406.2,2644.0,65535.0,0,5,0,0,0,0.006713600000000002,0.011566962016882393,0.000204,0.027357,0,0,0,0,0,0,3,2,0,0,0,0,0,245.33333333333334,314.0785464391564,64.0,608.0,0.014717,0.017875659428395918,0.002077,0.027357,2,0.006713600000000002,0.011566962016882393,0.000204,0.027357,0,0,0,3,movingAroundHouse
4345,1774450241.0,1774450256.024479,2878,2876,0.9993050729673384,2,0.0006949270326615705,1000.7029186935372,731.6310989813733,60,10062,1494.0,920,1875,191688.7112558673,5,5,59.70708825573315,7.477043429700616,986.6966643502432,731.6391689519205,4,4,935.3056328233658,731.5285191858027,1961,0.6818497913769124,3,2619.539986091794,0.0,65160.0,4,2871,2,2,2,0.0032700597637248087,0.006348934530820861,0.0,0.110559,0,0,0,0,910,1968,0,0,0,0,0,0,2,4301.5278246205735,3868.2707240984378,26.0,16408.0,0.01811086966046002,0.004710587349479036,0.000949,0.070701,913,0.0032629370653685674,0.0063405353582117584,0.0,0.110559,0,2,6,585,outsideDetection
4346,1774450258.925615,1774450259.968712,189,189,1.0,0,0.0,936.0846560846561,709.0872115940962,60,2922,1418.0,63,118,169610.3015771648,4,4,63.74074074074074,26.43722958176637,922.0529100529101,709.1267759855625,3,3,870.4973544973545,708.692432645297,129,0.6825396825396826,2,3925.15873015873,1250.0,65535.0,0,189,0,0,0,0.004386042328042328,0.00663029387913769,0.0,0.040366,4,3,0,0,59,123,0,0,0,0,0,0,0,3375.891304347826,4774.9013403571935,28.0,16408.0,0.019065421875000002,0.009659957676473532,0.00945,0.090205,64,0.004386042328042328,0.00663029387913769,0.0,0.040366,0,0,0,46,alexaBulbOff
4347,1774450295.419972,1774450296.581754,7,7,1.0,0,0.0,237.57142857142858,239.60930501050882,60,709,87.0,4,1,1431.4216973293135,2,2,175.0,74.83314773547883,222.71428571428572,240.3599483314655,2,2,182.71428571428572,240.3599483314655,6,0.8571428571428571,1,38260.28571428572,1872.0,65535.0,0,7,0,0,0,0.010567428571428573,0.011057484205386908,0.0,0.028663,4,3,0,0,0,0,0,0,0,0,0,0,0,208.16666666666666,248.06806861558516,28.0,650.0,0.03838899999999999,0.036914042459024535,0.009259,0.092385,4,0.010567428571428573,0.011057484205386908,0.0,0.028663,0,0,0,6,alexaBulbOn
4348,1774450348.595479,1774450349.69814,4,4,1.0,0,0.0,270.0,290.36643515851944,60,688,166.0,2,1,979.4488999209711,2,2,185.0,80.82903768654761,254.5,291.8247190809351,2,2,214.5,291.8247190809351,3,0.75,1,34227.5,2920.0,65535.0,0,4,0,0,0,0.026626999999999998,0.018003419878826726,0.008376,0.042171,2,2,0,0,0,0,0,0,0,0,0,0,0,281.0,311.5589831797504,28.0,629.0,0.0183075,0.006169506665852626,0.013945,0.02267,2,0.026626999999999998,0.018003419878826726,0.008376,0.042171,0,0,0,3,alexaBulbChange
4349,1774450450.042206,1774450451.08595,8,8,1.0,0,0.0,228.125,243.14277845390703,60,703,87.0,5,1,1748.5132986384192,2,2,185.0,74.83314773547883,212.625,244.3410599375974,2,2,172.625,244.3410599375974,6,0.75,1,33925.0,2249.0,65535.0,0,8,0,0,0,0.015478500000000001,0.009963832667632042,1e-06,0.030799,4,4,0,0,0,0,0,0,0,0,0,0,0,225.16666666666666,260.17410837104194,28.0,644.0,0.036153,0.03157229813459894,0.010574,0.090874,5,0.015478500000000001,0.009963832667632042,1e-06,0.030799,0,0,0,6,alexaBulbChange
4350,1774450586.061982,1774450587.100864,7,7,1.0,0,0.0,241.14285714285714,247.85172218581857,60,734,87.0,4,1,1624.8235816557033,2,2,175.0,74.83314773547883,226.28571428571428,248.59184371556677,2,2,186.28571428571428,248.59184371556677,6,0.8571428571428571,1,38237.142857142855,1785.0,65535.0,0,7,0,0,0,0.03158271428571428,0.03816264016335997,1e-06,0.091029,4,3,0,0,0,0,0,0,0,0,0,0,0,119.8,135.4887449200117,28.0,329.0,0.0297506,0.035651803296607595,0.003514,0.091029,5,0.03158271428571428,0.03816264016335997,1e-06,0.091029,0,0,0,5,alexaBulbOff
4351,1774450591.65059,1774450591.882571,4,4,1.0,0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,4194.3083106971335,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,33951.5,2299.0,65535.0,0,4,0,0,0,0.03554149999999999,0.04948506048967371,0.002125,0.106913,0,0,0,0,0,0,2,2,0,0,0,0,0,245.33333333333334,314.0785464391564,64.0,608.0,0.016564000000000002,0.020383060074483417,0.002151,0.030977,2,0.03554149999999999,0.04948506048967371,0.002125,0.106913,0,0,0,3,movingAroundHouse
4352,1774450617.469214,1774450617.696576,4,4,1.0,0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,4279.516070241373,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,33848.0,2092.0,65535.0,0,4,0,0,0,0.0090365,0.010135910960540251,0.002254,0.023791,0,0,0,0,0,0,2,2,0,0,0,0,0,245.33333333333334,314.0785464391564,64.0,608.0,0.014155000000000001,0.01644447530327435,0.002527,0.025783,2,0.0090365,0.010135910960540251,0.002254,0.023791,0,0,0,3,movingAroundHouse
4353,1774450714.035101,1774450715.06771,8,8,1.0,0,0.0,214.625,228.71500512959042,60,703,87.0,5,1,1662.77847998973,2,2,185.0,74.83314773547883,199.125,229.88782202258065,2,2,159.125,229.88782202258065,6,0.75,1,34211.0,2821.0,65535.0,0,8,0,0,0,0.012304124999999999,0.01190835136049487,1e-06,0.032095,4,4,0,0,0,0,0,0,0,0,0,0,0,207.16666666666666,245.9336631424553,28.0,644.0,0.015351600000000002,0.011028615701891148,0.00286,0.0268,5,0.012304124999999999,0.01190835136049487,1e-06,0.032095,0,0,0,6,alexaBulbOn
4354,1774450832.0,1774450846.898316,2704,2694,0.996301775147929,10,0.0036982248520710057,984.7082100591716,764.3453096703066,60,8634,1494.0,904,1720,178721.60965749845,8,8,59.55991124260355,7.786512675412367,970.7015532544378,764.3533921458692,5,5,921.880846325167,763.9838912530788,1794,0.6659242761692651,4,2520.2910170749815,0.0,65160.0,6,2688,2,3,3,0.0037581028106508873,0.006376931360675857,0.0,0.080727,0,0,0,0,896,1808,0,0,0,0,0,0,3,3490.9138187221397,4048.972753505902,26.0,16408.0,0.01805665401785714,0.00761047975500833,0.001018,0.145978,896,0.0037435764662212324,0.006352857325853798,0.0,0.080727,0,2,9,662,outsideDetection
4355,1774450902.042709,1774450903.079595,9,9,1.0,0,0.0,210.33333333333334,236.35460647087038,60,711,87.0,6,1,1825.658792163283,2,2,192.77777777777777,73.78647873726219,194.33333333333334,237.80033641691927,2,2,154.33333333333334,237.80033641691927,6,0.6666666666666666,1,30240.0,1709.0,65535.0,0,9,0,0,0,0.010902,0.00971153655453142,1e-06,0.026456,4,5,0,0,0,0,0,0,0,0,0,0,0,226.5,262.75749275710484,28.0,652.0,0.0326828,0.03648189230563568,0.007503,0.096703,5,0.010902,0.00971153655453142,1e-06,0.026456,0,0,0,6,alexaBulbChange
