windowID,windowStart,windowEnd,packetCount,tcpPacketCount,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,avgTCPWindowSize,ackCount,avgInterArrivalTime,stdInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,avgTimeDelta,stdTimeDelta,label
1258,1774281188.103576,1774281188.346632,2,2,228.0,199.4041122946064,87,369,228.0,1,0,1876.110400597969,2,2,185.0,98.99494936611666,214.0,199.4041122946064,2,2,174.0,199.4041122946064,2,1.0,33688.0,2,0.028405,0.016515185981393007,0,0,1,1,0,0,0,0,0,0,0,0,0,169.0,199.4041122946064,0.152864,0.18415747587866205,0.028405,0.016515185981393007,bulbEvent
1259,1774281216.104713,1774281216.393411,2,2,229.5,201.52543263816605,87,372,229.5,1,0,1589.8969400117435,2,2,185.0,98.99494936611666,215.5,201.52543263816605,2,2,175.5,201.52543263816605,2,1.0,33669.5,2,0.0015825000000000001,0.00223657874889305,1,1,0,0,0,0,0,0,0,0,0,0,0,170.5,201.52543263816605,0.032882,,0.0015825000000000001,0.00223657874889305,bulbEvent
1260,1774281231.394649,1774281231.790745,3,3,172.66666666666666,172.2914197902302,60,371,87.0,2,0,1307.7638037086774,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,23780.666666666668,3,0.020183333333333334,0.020791459889419342,1,2,0,0,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.1340695,0.1489909343299115,0.020183333333333334,0.020791459889419342,bulbEvent
1261,1774281231.790986,1774281231.982557,2,2,229.0,200.8183258569795,87,371,229.0,1,0,2390.758552196807,2,2,185.0,98.99494936611666,215.0,200.8183258569795,2,2,175.0,200.8183258569795,2,1.0,34211.0,2,0.010304,0.011496142048530892,1,1,0,0,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.021303,,0.010304,0.011496142048530892,bulbEvent
1263,1774281241.0,1774281257.992024,2740,2730,981.3897810218978,767.8997386754709,60,10062,1494.0,939,1724,158251.18942433246,12,12,60.424452554744526,10.248239800756634,967.3722627737226,767.9208341714473,6,6,918.5333333333333,767.5434579639108,1804,0.6608058608058608,2557.687545787546,2721,0.0027439521897810216,0.005789556831527773,0,0,1,2,922,1812,0,0,1,2,0,0,3,3684.126524390244,3453.560104171845,0.016980929653679654,0.007460533281868479,0.0027326805860805863,0.005765330868307506,outsideDetection
1262,1774281255.983198,1774281256.212232,19,19,722.4736842105264,681.3371141790933,66,1418,371.0,9,9,59934.284375296025,3,3,68.36842105263158,45.5914350220348,708.4736842105264,681.3371141790933,3,2,657.1052631578947,680.9986861414021,10,0.5263157894736842,2169.684210526316,19,0.009487157894736843,0.006839399423464331,0,0,0,1,9,9,0,0,0,0,0,0,0,1243.5,327.2957378274273,0.012989555555555555,0.0007496382646168605,0.009487157894736843,0.006839399423464331,bulbEvent
1264,1774281262.791561,1774281263.09103,3,3,173.0,172.86700089953547,60,372,87.0,2,0,1733.067563436258,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23714.666666666668,3,0.029042666666666665,0.016257850544685586,1,2,0,0,0,0,0,0,0,0,0,0,0,170.5,201.52543263816605,0.0579215,0.0430493679454182,0.029042666666666665,0.016257850544685586,bulbEvent
1265,1774281271.091889,1774281271.494552,3,3,172.66666666666666,172.2914197902302,60,371,87.0,2,0,1286.435579323947,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,23692.666666666668,3,0.015495333333333331,0.014205704006959082,1,2,0,0,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.082543,0.0753917250101097,0.015495333333333331,0.014205704006959082,bulbEvent
1266,1774281288.213502,1774281288.33532,1,1,371.0,,371,371,371.0,0,0,3045.5252924989527,1,1,255.0,,357.0,,1,1,317.0,,1,1.0,2755.0,1,0.001017,,0,1,0,0,0,0,0,0,0,0,0,0,0,312.0,,,,0.001017,,bulbEvent
1267,1774281303.494889,1774281303.848536,3,3,173.0,172.86700089953547,60,372,87.0,2,0,1467.5651407702944,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23399.666666666668,3,0.016548000000000004,0.011158532340769552,0,0,1,2,0,0,0,0,0,0,0,0,0,170.5,201.52543263816605,0.015138,0.015397957267118258,0.016548000000000004,0.011158532340769552,bulbEvent
